panel	gene	present
Macrophage_core	LST1	TRUE
Macrophage_core	AIF1	TRUE
Macrophage_core	TYROBP	TRUE
Macrophage_core	FCGR3A	TRUE
Macrophage_core	MS4A7	TRUE
Macrophage_core	CD68	TRUE
Macrophage_core	CSF1R	TRUE
C1QC_APOE_macrophage	C1QA	TRUE
C1QC_APOE_macrophage	C1QB	TRUE
C1QC_APOE_macrophage	C1QC	TRUE
C1QC_APOE_macrophage	APOE	TRUE
C1QC_APOE_macrophage	SELENOP	FALSE
C1QC_APOE_macrophage	FOLR2	TRUE
SPP1_TREM2_macrophage	SPP1	TRUE
SPP1_TREM2_macrophage	TREM2	TRUE
SPP1_TREM2_macrophage	GPNMB	TRUE
SPP1_TREM2_macrophage	APOC1	TRUE
SPP1_TREM2_macrophage	FABP5	TRUE
SPP1_TREM2_macrophage	LGALS3	TRUE
Monocyte_classical	FCN1	TRUE
Monocyte_classical	VCAN	TRUE
Monocyte_classical	S100A8	TRUE
Monocyte_classical	S100A9	TRUE
Monocyte_classical	CCR2	TRUE
Monocyte_classical	LILRB2	TRUE
Monocyte_nonclassical	FCGR3A	TRUE
Monocyte_nonclassical	MS4A7	TRUE
Monocyte_nonclassical	LST1	TRUE
Monocyte_nonclassical	CX3CR1	TRUE
Monocyte_nonclassical	LYN	TRUE
Inflammatory	IL1B	TRUE
Inflammatory	CXCL8	TRUE
Inflammatory	CCL3	TRUE
Inflammatory	CCL4	TRUE
Inflammatory	NFKBIA	TRUE
IFN_response	ISG15	TRUE
IFN_response	IFIT1	TRUE
IFN_response	IFIT2	TRUE
IFN_response	IFIT3	TRUE
IFN_response	CXCL10	TRUE
MHCII_antigen_presentation	HLA-DRA	TRUE
MHCII_antigen_presentation	HLA-DRB1	TRUE
MHCII_antigen_presentation	HLA-DPA1	TRUE
MHCII_antigen_presentation	HLA-DPB1	TRUE
MHCII_antigen_presentation	CD74	TRUE
Cycling	MKI67	TRUE
Cycling	TOP2A	TRUE
Cycling	STMN1	TRUE
DC_boundary	FCER1A	TRUE
DC_boundary	CLEC10A	TRUE
DC_boundary	CD1C	TRUE
DC_boundary	CLEC9A	TRUE
DC_boundary	LAMP3	TRUE
DC_boundary	CCR7	TRUE
Mast_boundary	TPSAB1	TRUE
Mast_boundary	TPSB2	TRUE
Mast_boundary	CPA3	TRUE
T_NK_boundary	CD3D	TRUE
T_NK_boundary	TRAC	TRUE
T_NK_boundary	NKG7	TRUE
T_NK_boundary	GNLY	TRUE
B_boundary	MS4A1	TRUE
B_boundary	CD79A	TRUE
Endothelial_boundary	PECAM1	TRUE
Endothelial_boundary	VWF	TRUE
Epithelial_boundary	EPCAM	TRUE
Epithelial_boundary	KRT18	TRUE
Epithelial_boundary	KRT19	TRUE
