scope	path	bytes	sha256	note
upload	outputs/gse164522_audit_cluster_author_subtype_fraction.png	80378	7f56c4725ecd52aca1a485bd433717f725cca6f5c801ee1503f53ec1cc8c2c74	committed_to_github
upload	outputs/gse164522_audit_cluster_composition_summary.tsv	9657	b39f7c5b41adfed5a1591a4f0efc41cf517def152ae07d4da0784c60ea709c28	committed_to_github
upload	outputs/gse164522_audit_cluster_flag_matrix.png	122544	2a980fc72bbeefb93a2f532a7700d6455352e31cb1eb2f0786f7ec960d91808a	committed_to_github
upload	outputs/gse164522_audit_cluster_integrated_review.tsv	23625	dd9dbc58c1bc1f14174a44fbf372834c93b77bb54ccfc9ed0a6616a2d3d4d60b	committed_to_github
upload	outputs/gse164522_audit_cluster_knn_batch_mixing.tsv	1467	57d583ea56b664e5bcc82dc7290a38cb66fc40ba4f63556b461101f9d2ff5fdb	committed_to_github
upload	outputs/gse164522_audit_cluster_lineage_score_summary.tsv	15835	991efb62e1fd896589bd25346fc41c2390630a3dfcf66bb3587a984e77e54c97	committed_to_github
upload	outputs/gse164522_audit_cluster_max_patient_fraction.png	72073	fa2f04f93d2090fff86a53b6791d2b308c20f4f0004c364fa44190d0f68effb7	committed_to_github
upload	outputs/gse164522_audit_cluster_max_sample_fraction.png	75711	c625d403dffafddbe72821573da1a5b0027689b03441b9a37c9cb408a5350328	committed_to_github
upload	outputs/gse164522_audit_cluster_median_nFeature_RNA.png	65082	fd203d75149e8a894a2d1a7f5be454ee7c17973a6c84954f3d2c9509c07149d1	committed_to_github
upload	outputs/gse164522_audit_cluster_qc_summary.tsv	9396	2f5e96be951fa78cf28c127fa0bd7f57d1868661b6935fc60d7a59b7092a5467	committed_to_github
upload	outputs/gse164522_audit_cluster_review_status.tsv	6697	44f6165b08f10e7b7b9b2bbbc0b5f3b92e45eb0cb20bc18c5960532433c022a5	committed_to_github
upload	outputs/gse164522_audit_cluster_scDblFinder_doublet_fraction.png	67518	c5b449b773ccfed7212cfd426bd3b99bea5e6ddc96262d81060a294bfd8c5722	committed_to_github
upload	outputs/gse164522_audit_harmony_sample_umap_cluster.png	615214	6bde17bfdce1a91ef6bdc21980d82b5824bfd53d8fd434383d96223865ce25ff	committed_to_github
upload	outputs/gse164522_audit_harmony_sample_umap_coordinates.tsv.gz	468885	a4d9cd1633f1133f5e5199b74770fc3a6cdf4a359c3e703b76529e574a722fdf	committed_to_github
upload	outputs/gse164522_audit_harmony_sample_umap_status.png	596129	ea9406676d102a32a1b64337bb18c67bbabdeea4e63b7888917fbc22ba585255	committed_to_github
upload	outputs/gse164522_audit_harmony_sample_umap_tissue.png	772668	ad6106252a2b259f69198f433011d7600bacf3c5ba0fe0c0042b7a1427a396f7	committed_to_github
upload	outputs/gse164522_audit_lineage_score_heatmap.png	93122	ca16ed5b734b250a9fa656ffdbdc4d22c588562a5864fbd0df97b9f7481d56d3	committed_to_github
upload	outputs/gse164522_audit_marker_set_coverage.tsv	719	529e8c22f9b4d1687142ea2345fd2ebb368ef84657b7ce62ae2c8862ea417d9b	committed_to_github
upload	outputs/gse164522_audit_per_cell_knn_batch_mixing.tsv.gz	268575	b745dc541be2438877fc2868d21f341e0211c067bf7e0de0464f143b317d3ce9	committed_to_github
upload	outputs/gse164522_audit_per_cell_lineage_scores.tsv.gz	1341628	33aeec477268f2e850a5d42c563bf4621b5b635c11482f4894098b018285b051	committed_to_github
upload	outputs/gse164522_audit_scDblFinder_cluster_summary.tsv	1570	c7cf6ba2373eb24c8bb07ae341c721bfc5b592b228dc66e48de00cf38a9c95a4	committed_to_github
upload	outputs/gse164522_audit_scDblFinder_per_cell.tsv.gz	609283	b0753bcb2a98dfa00ff80c03691e836f67b0f15d9a8755876df2c6e35cdbd3f1	committed_to_github
upload	outputs/gse164522_audit_umap_initial_action.png	213824	67e20566b3cef7e286f86ee46739639c051b70c4a2af845714012bd181c64036	committed_to_github
upload	outputs/gse164522_audit_umap_marker_review.png	243689	86107e2402ddb83afe7878e7120b613b8024947465da0fced3dd965511fb46db	committed_to_github
upload	outputs/gse164522_audit_umap_status.png	302906	b0791a86440b089f91e45679ee770473856e3f25d1f3f44481dd4d62d97b12f3	committed_to_github
upload	outputs/gse164522_audit_umap_tissue.png	411262	9ef4bd141d798a7feb6d4a2199b8ccaee8f6d7578048693347e7ada8ffd44909	committed_to_github
upload	outputs/sessionInfo.txt	5781	36a79e5b06b59c753968e487ae7d2749a6c677235fbdfabd87aaa2651563426a	committed_to_github
upload	outputs/STATUS.md	1852	de0e2f28d8dc24e7d4ceb1bb2353814bb1e035ac8e928f9ddc6046fb36daacc8	committed_to_github
