object_type	compartment	absolute_path	size_bytes	sha256	cells	status	notes
article_basic_qc_primary		F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis_paper_qc_20260717/gse205506_article_basic_qc_primary.rds	3766936739	349bce8d3d01b0d2814aa565c782fb548d4eccc7dbf44889c888bcd32703c0a9	200663	formal_route_local_only	Article numerical basic QC; scDblFinder calls retained in primary object
first_round_rpca_broad_classification		F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis_paper_qc_20260717/gse205506_first_round_rpca_broad_classification.rds	11602035746	c9072c877f6537a3c5a747a071f7dbfb4f021fde5086b930d8a06ff4c89d42a1	200663	formal_route_local_only	First-round integrated object used for broad classification and mitochondrial QC
post_compartment_mt_qc_raw		F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis_paper_qc_20260717/gse205506_post_compartment_mt_qc_raw.rds	3364323658	300c8d202b464dde457cb1bd005413cdc69bf13b14f2af8e1dbcf9cbe1bb2d25	166624	formal_route_local_only	Raw RNA object restricted to cells passing compartment mitochondrial QC
formal_post_mt_rpca_atlas		F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis_paper_qc_20260717/gse205506_formal_post_mt_rpca_atlas.rds	10100879298	b46f0371f0a97b526e4428305ead738ffb1a97a489410157562d4f50387be71b	166624	formal_route_local_only	Final post-mitochondrial-QC RPCA atlas
compartment_reclustered_object	T/I/NK	F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis_paper_qc_20260717/gse205506_compartment_T_I_NK.rds	1345365032	942f88831dae25391d62a4a21237877b87abd2edce5ce6907470baee8cd76146	32392	formal_route_local_only	Compartment-specific Harmony project implementation; no whole cluster deleted
compartment_reclustered_object	B	F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis_paper_qc_20260717/gse205506_compartment_B.rds	1045194818	0b378e2de8272abff928b8430d27f9dc6a03dce786b6784ff45195bd84f7afd7	23464	formal_route_local_only	Compartment-specific Harmony project implementation; no whole cluster deleted
compartment_reclustered_object	Myeloid	F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis_paper_qc_20260717/gse205506_compartment_Myeloid.rds	585031259	c7322a7929dfd175242f509eb31a0a77352018b14580d1bd4fdab3aad6e4e3b0	9605	formal_route_local_only	Compartment-specific Harmony project implementation; no whole cluster deleted
compartment_reclustered_object	Endothelial	F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis_paper_qc_20260717/gse205506_compartment_Endothelial.rds	1003008570	463a0c472477c521a637116d77d7f1eebdc842d152b115a6ba6e1328986e9900	15163	formal_route_local_only	Compartment-specific Harmony project implementation; no whole cluster deleted
compartment_reclustered_object	Fibroblast	F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis_paper_qc_20260717/gse205506_compartment_Fibroblast.rds	519358609	eb8410f86de1ecbd01b760fdae97166ae9550913fb6ea7271a1e837fd33dc5ae	8645	formal_route_local_only	Compartment-specific Harmony project implementation; no whole cluster deleted
compartment_reclustered_object	Epithelial	F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis_paper_qc_20260717/gse205506_compartment_Epithelial.rds	5126252601	5a77140c92a00a7da906ff163717e95b17d0c5d15c8b1089a00ab18fb5ce8a09	77355	formal_route_local_only	Compartment-specific Harmony project implementation; no whole cluster deleted
rejected_qc_version_1		F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis/gse205506_seurat_final_annotated.rds	13960868155	9f67ca82761c6dcf396bff7e474700f7922180f528dff8db06329c0a6810a526		rejected_qc_version_1_preserved	Previous per-sample mitochondrial filtering did not reproduce the source-paper QC; file preserved and not overwritten
rejected_qc_version_1		F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis/gse205506_seurat_final_reviewed.rds	13973709204	3916592e5cce0b9f490d304847bdbba947e0c9500afdcda59f7d699893d3ce49		rejected_qc_version_1_preserved	Previous per-sample mitochondrial filtering did not reproduce the source-paper QC; file preserved and not overwritten
rejected_qc_version_1		F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis/gse205506_seurat_harmony.rds	13617459364	34bdc3051bcabea516badb60a3040cbc408c69e4fa546096c1c7f195b77c1359		rejected_qc_version_1_preserved	Previous per-sample mitochondrial filtering did not reproduce the source-paper QC; file preserved and not overwritten
rejected_qc_version_1		F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis/gse205506_seurat_integrated_clusters.rds	13952514540	6b92692edffe4eca66ad2259bdb4206b49ac0e56baa13e2e3a94334cf897e27a		rejected_qc_version_1_preserved	Previous per-sample mitochondrial filtering did not reproduce the source-paper QC; file preserved and not overwritten
rejected_qc_version_1		F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis/gse205506_seurat_normalized_pca.rds	13551273236	cd2fb88be5bb8300c4185d0a25bf526cfc734094e2f282ef21836444c333f4db		rejected_qc_version_1_preserved	Previous per-sample mitochondrial filtering did not reproduce the source-paper QC; file preserved and not overwritten
rejected_qc_version_1		F:/pan-gi-ici-ccc-20260709/GSE205506/r_analysis/gse205506_seurat_qc_singlets.rds	3957788041	b6eb4c3550db3f2be5462c23c3a5875c24a87a817ca4dd84fe3f7a5296a4b725		rejected_qc_version_1_preserved	Previous per-sample mitochondrial filtering did not reproduce the source-paper QC; file preserved and not overwritten
