relative_path	file_type	dataset	description	bytes	sha256	created_by	source_command	notes
STATUS.md	status	GSE169246_TNBC	Filled desktop upload status	3070	145e7780d18c6da2f36d154229d3dc92e0568df858ed1fea919bb40d2798782c	Codex desktop worker	TNBC_THREADS=8 TNBC_NPCS=30 TNBC_RESOLUTION=0.1 Rscript scripts/run_tnbc_bpcells_full.R 2>&1 | tee tnbc_full_run.log	uploaded to GitHub handoff folder
figures/tnbc_full_canonical_marker_dotplot.pdf	figure	GSE169246_TNBC	Canonical marker dotplot, PDF	40218	ac192653e9f4a6168bff67fac5c54cf9438f9de92059c7ba8492868941610c49	Codex desktop worker	TNBC_THREADS=8 TNBC_NPCS=30 TNBC_RESOLUTION=0.1 Rscript scripts/run_tnbc_bpcells_full.R 2>&1 | tee tnbc_full_run.log	uploaded to GitHub handoff folder
figures/tnbc_full_canonical_marker_dotplot.png	figure	GSE169246_TNBC	Canonical marker dotplot, PNG	328553	1a6a9cd7601d96cffb6941f925ab6fbd2e668fffd60048d636bcdff671d21df6	Codex desktop worker	TNBC_THREADS=8 TNBC_NPCS=30 TNBC_RESOLUTION=0.1 Rscript scripts/run_tnbc_bpcells_full.R 2>&1 | tee tnbc_full_run.log	uploaded to GitHub handoff folder
figures/tnbc_full_umap_by_cluster.pdf	figure	GSE169246_TNBC	UMAP colored by cluster, PDF	52728	426a4e9d766856193704846438433b78c49c358f486211f8604dba5e040c7975	Codex desktop worker	TNBC_THREADS=8 TNBC_NPCS=30 TNBC_RESOLUTION=0.1 Rscript scripts/run_tnbc_bpcells_full.R 2>&1 | tee tnbc_full_run.log	uploaded to GitHub handoff folder
figures/tnbc_full_umap_by_cluster.png	figure	GSE169246_TNBC	UMAP colored by cluster, PNG	160549	eb88207b570fca76742aee5288892f445fe136e896502ade02ff3a43a5d2aaa2	Codex desktop worker	TNBC_THREADS=8 TNBC_NPCS=30 TNBC_RESOLUTION=0.1 Rscript scripts/run_tnbc_bpcells_full.R 2>&1 | tee tnbc_full_run.log	uploaded to GitHub handoff folder
figures/tnbc_full_umap_by_group.png	figure	GSE169246_TNBC	UMAP colored by group, PNG	272916	6a61cce00c38cd6474e8772a1476c74361fc0791ff26649b74633c1babc3cfd3	Codex desktop worker	TNBC_THREADS=8 TNBC_NPCS=30 TNBC_RESOLUTION=0.1 Rscript scripts/run_tnbc_bpcells_full.R 2>&1 | tee tnbc_full_run.log	uploaded to GitHub handoff folder
figures/tnbc_full_umap_by_tissue.png	figure	GSE169246_TNBC	UMAP colored by tissue, PNG	258391	27565ea7b06bbb12405f9c697b5863e00458c5ffd4f9c6ad76d2d3fe252f8dd5	Codex desktop worker	TNBC_THREADS=8 TNBC_NPCS=30 TNBC_RESOLUTION=0.1 Rscript scripts/run_tnbc_bpcells_full.R 2>&1 | tee tnbc_full_run.log	uploaded to GitHub handoff folder
logs/tnbc_full_run.log	log	GSE169246_TNBC	Full Rscript run log	16528	47f70badd68b64e693b1535b8e52d060cf3708156c664beb19a1cb6ae0f11f8f	Codex desktop worker	TNBC_THREADS=8 TNBC_NPCS=30 TNBC_RESOLUTION=0.1 Rscript scripts/run_tnbc_bpcells_full.R 2>&1 | tee tnbc_full_run.log	uploaded to GitHub handoff folder
tables/tnbc_full_cluster_by_group.tsv	table	GSE169246_TNBC	Cluster composition by group	860	16fd79effec37e94e7fd668b819d22ee595ba242f240e3693b6ab7d752dd8df2	Codex desktop worker	TNBC_THREADS=8 TNBC_NPCS=30 TNBC_RESOLUTION=0.1 Rscript scripts/run_tnbc_bpcells_full.R 2>&1 | tee tnbc_full_run.log	uploaded to GitHub handoff folder
tables/tnbc_full_cluster_by_sample.tsv	table	GSE169246_TNBC	Cluster composition by sample	18268	91f37e4e2b374bddb36ec882b2057e61faefe8b84df99e69ee0bba1773b54083	Codex desktop worker	TNBC_THREADS=8 TNBC_NPCS=30 TNBC_RESOLUTION=0.1 Rscript scripts/run_tnbc_bpcells_full.R 2>&1 | tee tnbc_full_run.log	uploaded to GitHub handoff folder
