dataset_id	object_label	marker_program	requested_genes	present_genes	present_gene_count	requested_gene_count
GSE178318	gse178318_working_qc_sparse_matrix	fibroblast_ecm	COL1A1,COL1A2,COL3A1,DCN,LUM,PRELP	COL1A1,COL1A2,COL3A1,DCN,LUM,PRELP	6	6
GSE178318	gse178318_working_qc_sparse_matrix	caf_activation	FAP,ACTA2,POSTN,THBS2,MMP2,MMP11	FAP,ACTA2,POSTN,THBS2,MMP2,MMP11	6	6
GSE178318	gse178318_working_qc_sparse_matrix	inflammatory_caf	CXCL14,CFD,C3,IL6,CXCL12,SFRP1	CXCL14,CFD,C3,IL6,CXCL12,SFRP1	6	6
GSE178318	gse178318_working_qc_sparse_matrix	pericyte_like	MCAM,RGS5,PDGFRB	MCAM,RGS5,PDGFRB	3	3
GSE178318	gse178318_working_qc_sparse_matrix	endothelial	PECAM1,VWF,KDR	PECAM1,VWF,KDR	3	3
GSE178318	gse178318_working_qc_sparse_matrix	epithelial_tumor	EPCAM,KRT8,KRT18	EPCAM,KRT8,KRT18	3	3
GSE178318	gse178318_working_qc_sparse_matrix	immune_context	PTPRC,CD3D,LYZ	PTPRC,CD3D,LYZ	3	3
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	fibroblast_ecm	COL1A1,COL1A2,COL3A1,DCN,LUM,PRELP	COL1A1,COL1A2,COL3A1,DCN,LUM,PRELP	6	6
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	caf_activation	FAP,ACTA2,POSTN,THBS2,MMP2,MMP11	FAP,ACTA2,POSTN,THBS2,MMP2,MMP11	6	6
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	inflammatory_caf	CXCL14,CFD,C3,IL6,CXCL12,SFRP1	CXCL14,CFD,C3,IL6,CXCL12,SFRP1	6	6
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	pericyte_like	MCAM,RGS5,PDGFRB	MCAM,RGS5,PDGFRB	3	3
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	endothelial	PECAM1,VWF,KDR	PECAM1,VWF,KDR	3	3
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	epithelial_tumor	EPCAM,KRT8,KRT18	EPCAM,KRT8,KRT18	3	3
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	immune_context	PTPRC,CD3D,LYZ	PTPRC,CD3D,LYZ	3	3
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	fibroblast_ecm	COL1A1,COL1A2,COL3A1,DCN,LUM,PRELP	COL1A1,COL1A2,COL3A1,DCN,LUM,PRELP	6	6
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	caf_activation	FAP,ACTA2,POSTN,THBS2,MMP2,MMP11	FAP,ACTA2,POSTN,THBS2,MMP2,MMP11	6	6
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	inflammatory_caf	CXCL14,CFD,C3,IL6,CXCL12,SFRP1	CXCL14,CFD,C3,IL6,CXCL12,SFRP1	6	6
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	pericyte_like	MCAM,RGS5,PDGFRB	MCAM,RGS5,PDGFRB	3	3
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	endothelial	PECAM1,VWF,KDR	PECAM1,VWF,KDR	3	3
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	epithelial_tumor	EPCAM,KRT8,KRT18	EPCAM,KRT8,KRT18	3	3
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	immune_context	PTPRC,CD3D,LYZ	PTPRC,CD3D,LYZ	3	3
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	fibroblast_ecm	COL1A1,COL1A2,COL3A1,DCN,LUM,PRELP	COL1A1,COL1A2,COL3A1,DCN,LUM,PRELP	6	6
